order	content	target_cat	gripper_cat	mechanism_cat
​23	农村社会改革进一步深化	政治	党建	环境型
​24	做好规范农民负担和大病统筹工作	社会	民生	供给型
​25	在章村镇开展农村税费改革试点	政治	资金	环境型
​26	全县乡镇企业基本完成产权置换，改制率达９８畅９％	经济	产业	环境型
​27	坚持发展与提高并重的方针，不断解放思想，积极引导，完善政策，优化环境，通过开展“保三争四联百家”、争创工业强乡（镇）强村和争创“四型”企业活动，充分发挥村级组织和村级服务指导站作用，实行“两倾斜、三挂钩”政策，推行优先贷款担保制度，大力发展民营经济	经济	产业	环境型
​28	我县被确定为“国家生态农业示范县”，被评为“全国林业生态建设先进县”，“国家水土保持示范县”项目通过国家级验收	生态	产业	环境型
​29	重点开发建设了黄浦江源、藏龙百瀑、大竹海、竹子博物馆等景点，推出了“农家乐”、“空中游”等项目	生态	产业	供给型
​30	成功举办了中国竹乡黄浦江源生态旅游节	生态	产业	需求型
​31	金融业积极参与国有城镇集体企业改革，加大了对中小企业、农业和基础设施建设信贷扶持力度	经济	资金	供给型
​32	完成了农村合作基金会的清理整顿	政治	党建	环境型
​33	全面完成县域城镇体系规划、县城总体规划和县城绿化系统规划，编制完成１９９个中心村庄建设规划，余村村列入省级新农村建设试点	政治	土地	环境型
​34	全县上下围绕提前基本实现农业农村现代化目标，紧扣经济发展的主题，广泛深入地开展了“双思”集中教育，进一步解放了广大干部群众的思想，增强了发展信心和干劲，形成了齐心协力抓改革、促发展的良好局面	政治	党建	环境型
​35	新增７个高标准“普九”乡镇，全县高标准普九·５·安吉年鉴·特载率９０％以上，撤并５０人以下村小４２所，报福、安城达到教育强乡镇标准，递铺一小成为市级实验小学	社会	民生	供给型
​36	继续推进“书画之乡”创建工作和“东海明珠工程”建设，我县被文化部命名为“中国民间艺术（书画）之乡”	文化	民生	供给型
​37	积极实施全民健身计划，成功举办第三届县运动会，递铺镇成为全国亿万农民健身先进集体	社会	民生	供给型
​38	农民合作医疗大病统筹工作成效显著	社会	民生	供给型
​39	全县８２畅２％的农民参加大病统筹，统筹资金运转基本正常	社会	民生	供给型
​40	加大了农村改水工作力度	社会	民生	供给型
​41	认真做好救灾救济工作，农村最低生活保障线扩面１６５５人	社会	民生	供给型
​42	回顾一年的工作，在肯定成绩的同时，我们清醒地看到存在的问题与不足：农业产业化水平不高，农民增收渠道单一	经济	产业	环境型
​43	近年来，我县经济总量和综合实力有了明显提高，城乡人民生活提前实现小康，基础设施条件显著改善，改革开放进一步向纵深推进，科技教育发展步伐不断加快，精神文明和民主法制建设及各项社会事业有了新的加强	社会	科创	供给型
​44	通过不断解放思想和实践探索，走出了一条符合安吉实际的发展路子，特别是民营经济、特色经济和外向型经济发展势头强劲，全县人民群众建设现代化竹乡的信心不断增强，这些为新世纪的发展打下坚实基础	经济	产业	环境型
​45	强化中心城区的集聚扩散功能，基本形成“六大区块组合、区域特色明显、高等通道衔接、城乡一体布局、半小时经济圈”的特色小城市格局	政治	土地	环境型
​46	生态环境更加优化，人口自然增长率控制在３‰以内，城镇居民可支配收入和农民人均纯收入分别达１·７·安吉年鉴·特载万元和５０５０元以上，城镇居民就业充分，居民生活质量进一步提高	生态	产业	环境型
​47	以产业结构、城乡结构、行业结构和所有制结构为重点，全面推进经济结构的战略性调整	经济	产业	环境型
​48	大力发展效益农业，加快传统农业向现代农业转变	经济	产业	环境型
​49	农民人均纯收入增长５％以上，城镇居民人均可支配收入增长５％以上	经济	资金	需求型
​50	以企业为主体，以项目为中心，建立完善县乡村三级招商引资组织领导体系，落实全员招商目标责任制，形成全社会参与招商引资的良好氛围	经济	资金	环境型
​51	（二）以市场为导向，以农民增收为中心，大力发展效益农业	经济	产业	环境型
​52	加快农业结构调整，大力发展效益农业	经济	产业	环境型
​53	抓住粮食购销市场化的机遇，充分尊重农民意愿、经济规律和自然规律，坚定不移地推进农业结构调整	经济	产业	环境型
​54	实施种子种苗工程，发挥“引育繁推”中心的作用，集中力量抓好农业科技示范区建设和农业标准化生产推广工作，促进农产品品质结构的调整	经济	科创	供给型
​55	实施“人才带动工程”，大力推进科技兴农	经济	科创	供给型
​56	加快推进基层农技推广体制改革，建立按照农业发展区域设置的市场化、专业性的农业技术服务组织	经济	科创	环境型
​57	加强与高等院校、科研单位的联系，调整充实农业科技人员队伍，在提高现有人员技术水平的同时，大力引进外地人才	经济	科创	供给型
​58	全面开展科技下乡活动，如强对农民群众的技术培训，提高科技普及率	经济	科创	供给型
​59	落实技术要素参与收益分配政策，鼓励科技人员通过离岗经营、技术入股、或兴办科技型企业、中介服务组织等形式，直接参与效益农业	经济	科创	环境型
​60	扶大扶强农业龙头企业，着力提高农业产业化经营水平	经济	产业	环境型
​61	加大对重点龙头企业的扶持力度，全年新增１—２家省重点农业龙头企业	经济	产业	供给型
​62	对重点农业龙头企业在税收、信贷、用地、用电等方面予以优惠	经济	资金	环境型
​63	继续加强市场建设，形成特色农产品市场体系	经济	产业	环境型
​64	进一步搞活农产品流通	经济	产业	环境型
​65	大力发展农产品营销大户，鼓励组建各类中介服务组织，充分发挥市场纽带作用，推动产后农业的快速发展	经济	产业	环境型
​66	大力实施品牌战略，进行整体品牌策划，提高优势农产品的知名度和市场占有率	经济	产业	环境型
​67	积极发展生态农业，着力培育有机农产品，提高我县优势农产品无公害化率	生态	产业	环境型
​68	把农业招商引资作为一项重要措施来抓，通过土地整理，采取反租倒包等形式，集中成片土地，开展对外招商，扩大经营规模	经济	资金	环境型
​69	加强农业基础设施建设，巩固和提高农业综合生产能力	经济	土地	供给型
​70	开展土地整理和农业综合开发，加快标准田建设，重点实施黄墅、塘浦、三官、李家等１２个土地整理项目	经济	土地	供给型
​71	全面实施国家级生态农业示范县、水土保持示范县建设，继续实施红壤开发项目	生态	产业	环境型
​72	从中国竹乡、生态旅游的特色定位出发，努力提高我县生态旅游经济的发展水平	生态	产业	环境型
​73	大力开拓农村市场，积极延伸县外市场，努力挤占城市市场，进一步拓展中西部和边贸市场	经济	产业	需求型
​74	继续完善乡镇财政管理，逐步消化乡镇历年财政赤字	政治	资金	环境型
​75	进一步加大对中小企业、技改项目、农业产业化、基础设施建设、民营经济、旅游业和个人消费信贷的投入	经济	资金	供给型
​76	搞好农村金融体制改革，继续做好城市信用社清理整顿工作	政治	资金	环境型
​77	完成公路沿线、乡镇所在地和中心村建设性详规编制，扩大城市控制性详规的覆盖面	政治	土地	环境型
​78	县城要按照中国竹乡生态旅游城市的定位，优化规划布局，扩大城市规模，增强产业集聚，加强城市管理，提高城市品位	生态	土地	环境型
​79	重点实施城南路和新街桥区块旧城改造，建设好天目南路、经六路、胜利东路和样溪安居工程、城南路区块和递铺港（城南路至工农桥段）绿化工程、行政中心、县城污水处理厂	社会	民生	供给型
​80	继续抓好社会主义新农村示范村建设，高质量建成１０个新农村示范村	政治	土地	供给型
​81	努力提高旅游线和县、乡、村公路等级，加快山区公路建设，逐步建立起“二纵二横五连”的公路网络，实现全县“半小时经济圈”	经济	土地	供给型
​82	深化农村各项改革，切实维护农村社会稳定	政治	党建	环境型
​83	坚持承包权长期稳定不变、动钱不动山的原则，完善利益调节机制，健全利润再分配制度，做好山林承包期延长工作，保持山区农村的长期稳定	政治	土地	环境型
​84	切实加强对村提留、乡统筹费的管理，依法收取，合理使用，财务公开	政治	资金	环境型
​85	完成农村税费改革试点工作	政治	党建	环境型
​86	切实保护好基本农田，保持１７万吨的粮食综合生产能力，确保１万吨的粮食基本储备，逐步增加粮食风险基金	生态	土地	环境型
​87	按照上级的部署和要求，认真做好县、乡政府机构改革工作	政治	党建	环境型
​88	以创建“教育强县”、“教育强乡镇”、等级学校为抓手，加快教育信息化建设步伐，建立起教育现代化的基本框架	社会	民生	供给型
​89	优化教育资源配置，抓好农村中小学教育布局调整	社会	民生	供给型
​90	争取全部乡镇实现高标准“普九”，新增２—３个乡镇为省教育强乡镇	社会	民生	供给型
​91	加强乡镇文化站建设	文化	民生	供给型
​92	继续推进农村有线广播电视光缆联网建设，全县基本实现有线广播电视“村村通”，入户率达６５％	社会	民生	供给型
​93	以农村卫生、预防保健为重点，加强医疗卫生防病工作	社会	民生	供给型
​94	认真抓好在职医务人员和乡村医生的全科培训，为开展社区卫生服务提供人才支持	社会	民生	供给型
​95	巩固完善大病统筹，确保农民参与率８０％以上	社会	民生	供给型
​96	加强农村改水改厕工作	社会	民生	供给型
​97	开展文明城镇、文明村、文明单位、文明户和文明景点创建活动，组织实施科技、文化、卫生“三下乡”，力求取得实效	文化	民生	供给型
​98	完善农村居民最低生活保障制度，扩大最低生活保障受保范围	社会	民生	供给型
​99	加强对行政事业性收费的管理和监督，严肃查处乱收费行为，切实·３１·安吉年鉴·特载减轻企业和农民负担	政治	党建	环境型
​100	农民人均纯收入３７５７元，增长４畅０％（扣除物价因素），城镇居民人均可支配收入７５２８元，增长２畅８％	经济	资金	需求型
​101	过去的一年，我们主要做了以下几方面工作：（一）重视发展效益农业，推进农业产业化经营，促进了农业经济持续发展	经济	产业	环境型
​102	制定了枟安吉县农业和农村现代化建设实施意见枠和枟安吉县农业产业化实施意见枠，指导农业和农村经济发展	经济	产业	环境型
​103	农业结构调整取得进展	经济	产业	环境型
​104	农业产业化经营水平不断提高	经济	产业	环境型
​105	建立各类非粮农产品商品基地６１畅８４万亩，涌现各类生产大户２３２３户	经济	土地	供给型
​106	重点培育年产值５００万元以上农业龙头企业２０家，年产值２０００万元以上企业１０家，春晖竹木有限公司、天荒坪竹木开发公司进入省“百龙工程”，６家企业成为市级农业龙头企业	经济	产业	环境型
​107	全县８个农副产品市场，年成交额７畅５亿元	经济	产业	环境型
​108	从事农产品销售农户１万余户，各类中介服务机构１４家	经济	产业	环境型
​109	成功举办了县首届名特优新农产品展销会，组织参加上海、湖州农产品展示、展销会并获得成功，安吉农产品知名度日益提高	经济	产业	需求型
​110	一些优质农产品·２１６·安吉年鉴·特载有了拄册商标和地方质量标准	经济	产业	环境型
​111	安吉白荣荣获第三届全国名优茶评比特等奖、第四届中国农业博览会名牌产品、国际名茶博览交易会金奖产品	经济	产业	环境型
​112	农业基础设施建设得到加强	经济	土地	供给型
​113	继续抓好世行贷款红壤开发项目建设和小流域综合治理，黄泥岭小流域综合治理项目被农业部评为优秀小流域	生态	土地	供给型
​114	完成低产田改造１畅２万亩，建设标准农田５０００亩	经济	土地	供给型
​115	全县国有企业及乡以上集体企业完成改制３９０家，改制率９５畅１％，其中国有及城镇集体企业改制率８９畅７３％	政治	党建	环境型
​116	乡镇集体改制率９８畅１１％	政治	党建	环境型
​117	去年改制的６２家乡以上企业资产出售额１畅２２亿元，盘活存量２畅３６亿元	经济	资金	环境型
​118	成功举办了’９９中国竹乡生态旅游节，中央电视台、人民日报、新华社等３１家新闻单位参与报道，发报刊新闻４９篇，电视新闻５２条１１７次	生态	产业	需求型
​119	“登高观竹海”、“进农家”特色项目进展顺利	生态	产业	需求型
​120	以扩大内需、启动消费为重点，大力拓展县内市场、农村市场、边贸市场和县外市场，积极增购扩销	经济	产业	需求型
​121	新建了孝丰中心农贸市场、递铺土特产批发市场	经济	产业	供给型
​122	进一步完善了乡镇财政管理办法，极大地调动了乡镇的积极性	政治	资金	环境型
​123	积极稳妥地抓好清理整顿农村合作基金会工作，全县１５家农村合作基金会，３家自行清盘关闭，１２家顺利并入农村信用合作社，规范了农村金融秩序，保持了社会稳定	政治	资金	环境型
​124	（四）着力推进农村城镇化，加快基础设施建设，改善了经济社会发展环境	政治	土地	环境型
​125	顺利完成递铺、孝丰、梅溪、大荒坪、高禹等乡镇行政区划调整	政治	土地	环境型
​126	县城递铺镇按照“中国竹乡生态旅游城市”的定位，完成了总体规划大纲的修编	政治	土地	环境型
​127	１３个乡镇的集镇总体规划和０４省道、１１省道两侧控制性建设规划完成编制	政治	土地	环境型
​128	总投资达１畅１８亿元的农村低压电网改造工程开始实施	经济	资金	供给型
​129	９个乡镇通过高标准“普九”验收，良朋、港口通过省级教育强乡（镇）验收，安吉三中、上墅私立中学、孝丰镇中心小·２１８·安吉年鉴·特载学也分别通过省级特色高中、省一级职业中学、省一级农村示范小学验收	社会	民生	供给型
​130	出台枟安吉县农村合作医疗大病统筹暂行办法枠，全县８０％以上的农户参加了合作医疗大病统筹	社会	民生	供给型
​131	进一步加快乡村医疗机构一体化管理，全县一体化管理率达８０％	社会	民生	供给型
​132	通乡镇广播电视光缆联网工程建设全面完成，消灭了２８个广播电视空白村，我县被评为省“广播电视先进县”	社会	民生	供给型
​133	在全县范围内开展规范农民负担工作，依法收取村提留、乡统筹费，壮大了农村集体经济，增强了农民国家观念、集体观念和法制观念，进一步理顺了农村工作关系，加快推进农村各项事业的发展	政治	党建	环境型
​134	坚持纠建并举，加强行风监督，取消不合理收费项目，降低过高的收费标准，维护了企业和农民的利益	政治	党建	环境型
​135	各位代表，回顾一年的工作，在肯定成绩的同时，我们应当清醒地看到存在的问题与不足：农业基础仍然比较薄弱，农业经济结构矛盾突出，农民增收难度大	经济	产业	环境型
​136	做好今年各项工作，对于提前实现农业和农村现代化目标，具有十分重要的意义	经济	产业	环境型
​137	中央仍把扩大内需作为今年经济工作的主要任务，在调整农业结构、扶持中小企业、加快基础设施建设、启动住房和教育消费等方面继续实施一系列积极政策，为我们启动新一轮经济增长提供了良好的机遇	经济	产业	环境型
​138	基于对形势的分析，根据县委十届六次全会扩大会议的部署，２０００年政府工作总体要求是：以邓小平理论为指导，认真贯彻党的十五大和十五届三中、四中全会精神，以实现农业和农村现代化为总目标，突出抓好“五化一工程”和农业增效，农民增收，扬长避短，争创特色，积极培育绿色产业，大力发展生态经济，努力实现经济增长方式的转变，加快竹业强县、旅游大县建设步伐，切实加强精神文明建设和民主法制建设，深化改革，加快发展，攻坚破难，再创业绩，全面推动我县经济杜会持续、快速、健康发展	生态	产业	环境型
​139	农民人均纯收入３９４４元，增长５畅０％，城镇居民人均可支配收入７９０４元，增长５畅０％	经济	资金	需求型
​140	（二）全面实施农村低压电网改造	经济	资金	供给型
​141	主要工作与任务各位代表，为全面实现今年的各项目标，我们要着力抓好以下工作和任务：一、大力发展效益农业	经济	产业	环境型
​142	发展效益农业，是解决当前农业生产中增产不增收等诸多矛盾的关键，是保持农业经济持续健康发展的重要举措，也是实现农业和农村现代化的有效途径	经济	产业	环境型
​143	发展效益农业必须加快调整优化结构	经济	产业	环境型
​144	紧紧围绕调优品质、调活布局、调高效益的总体要求，把战略性调整和适应性调整结合起来，面向市场，依托科技，因地制宜，改造传统产业，发展特色产业，扶持新兴产业，加快农业经济结构调整步伐	经济	产业	环境型
​145	当前，我县粮食结构矛盾十分突出，粮食品质低下，销售难，造成农民增产不增收，财政不堪重负	经济	产业	环境型
​146	因此，在保持１７万吨粮食生产能力的前提下，引导农民树立“大粮食”的观念，市场需要什么就种什么	经济	产业	环境型
​147	引导农民调减粮食种植面积，大力发展多种经营，粮经比例逐步调整到１∶１	经济	产业	环境型
​148	发展效益农业必须提高农业科技含量	经济	科创	供给型
​149	深化农技推广体系改革，完善科技社会化服务网络，提高农技人员素质，充分发挥农技人员在发展效益农业中的作用	经济	科创	环境型
​150	积极开展农业靠大联大工作，依靠科研院所和大企业来推动我县农业综合开发	经济	科创	供给型
​151	举办县农业科技经贸洽谈会	经济	科创	需求型
​152	实施种子种苗工程，初步建立良种“引育繁推”新体系，建成“一网、三中心、八大示范基地”，即农技信息服务网络，县种子公司、林科所、良种场三大中心，粮油、瓜果蔬菜、名优茶、干鲜果、蚕桑、花卉苗木、草食动物、名优水产八大良种推广示范基地	经济	科创	供给型
​153	发展效益农业必须走产业化经营路子	经济	产业	环境型
​154	按照枟安吉县农业产业化经营发展规划枠的要求，围绕竹笋等主导产业，促使生产基地建设上规模、上水平	经济	产业	环境型
​155	大力发展区域特色经济，推进“一乡一业”、“一村一品”区域化生产模式，逐步形成以优高型、生态型为特征的山区半山区林特产农业区域，以规模化、机械化为特征的平原粮经农业区域和以集约型、高效益为特征的城郊农业区域三大经济区域	经济	产业	环境型
​156	加快农业综合开发步伐	经济	土地	供给型
​157	搞好良朋地区低产丘睦整体综合开发利用，规划启动环灵峰山生态农业园区	生态	土地	环境型
​158	加强对名特优农产品维权工作	经济	产业	环境型
​159	各乡镇都要新注册１～２个农产品商标，培育具有竹乡特色的名牌产品，提高产品的市场竞争力	经济	产业	环境型
​160	把发展龙头企业作为推进农业产业化经营的关键来抓	经济	产业	环境型
​161	引导企业投资开发农产品保鲜、贮藏、加工项目	经济	产业	环境型
​162	引进国内外先进技术、工艺、设备，努力提高农产品加工的技术水平	经济	科创	供给型
​163	千方百计搞活农产品的流通和销售，提高农产品的商品率和市场化程度	经济	产业	环境型
​164	继续大力培育农民营销大户，引导农民闯市场	经济	产业	环境型
​165	积极发展“订单农业”	经济	产业	环境型
​166	充分发挥农副产品市场的作用	经济	产业	环境型
​167	积极开展十佳营销明星、十佳农业龙头企业、十佳科技带头人、十佳实施种子种苗工程先进工作者等四个“十佳”评选活动，充分发挥他们的示范带动作用，引导全县农民积极投入产业化经营	经济	产业	环境型
​168	发展效益农业必须加强基础设施建设	经济	土地	供给型
​169	发展效益农业必须继续深化农业改革	经济	产业	环境型
​170	采取政策鼓励、市场引导和责任约束等有效措施，落实部门和乡镇目标，充分调动企业主体积极性，确保３亿元技改资金投入到位	经济	资金	环境型
​171	继续开展“保三争四联百家”活动，继续发挥村级组织和村级服务指导站的作用，继续推行优先贷款担保制度，实行“两倾斜、三挂钩”等有关激励政策，建立对乡镇工业经济在税收、技改投入、用电量等指标的考核，激励乡镇“争先进位”，力争进入省市级工业强镇	经济	资金	环境型
​172	进一步拓展“进农家”、“登高观竹海”等特色项目	生态	产业	需求型
​173	落实并完善政策措施，强化旅游宣传促销，精心策划包装，采取有效形式，加强组织协调，增强整体宣传效应，打响中国竹乡、天荒坪电站、黄浦江源三个品牌	生态	产业	需求型
​174	大力开拓农村市场，积极延伸县外市场，努力挤占城市市场，进一步拓展中西部和边贸市场	经济	产业	需求型
​175	加强乡镇财政管理，逐步消化乡镇历年财政赤字	政治	资金	环境型
​176	坚持“存款立行，贷款兴行”，进一步发挥信贷杠杆作用，抓住国家继续扩大内需的机遇，争取各项有利于地方经济发展的政策，优化信贷投向，密切银企合作，加大对优强企业、技改项目、农业产业化经营、基础设施建设、个体私营经济、旅游业和个人消费信贷的投入	经济	资金	供给型
​177	随着行政区划的调整，进一步完善中心城镇、重点城镇、一般集镇和新型村庄的四级梯度规划体系，推进新农村建设	政治	土地	环境型
​178	逐步选足配强乡镇规划管理人员	政治	土地	环境型
​179	县城递铺按照“中同竹乡生态旅游城市”的定位，规划启动生态广场精品区建设，建设步行街，加快递铺港生态河和经六路生态街建设，建设城南路，完成工农路（城西路至经六路）建设，做好天目路南段建设和新街桥路旧城改造的前期准备工作，完成递孝路老车站段拆迁任务	生态	土地	环境型
​180	继续抓好“一纵一横”大通道建设，以形成到湖州、杭州１小时交通圈，乡镇到中心城镇半小时快车道为目标，完成０４省道良朋至泗安段一级公路和幽岭隧道及接线工程，完成１１省道晓墅至马家渡段二级加宽道路的路基及桥涵工程，启动分步实施１１省道递铺至孝丰段改建工程	经济	土地	供给型
​181	调动乡镇、村积极性，加速山区公路建设，力争实现村村通公路目标	经济	土地	供给型
​182	对高等级公路实行一体化管理，继续做好省级文明样板路的创建工作，并加强对县乡公路的路政和交通运输市场管理	政治	土地	环境型
​183	全面实施“二改一同价”工怍，力争完成农村电网改造和农电体制改革任务，尽早实现城乡用电同网同价	经济	资金	供给型
​184	按照农民负担取之于民、用之于民的原则，强化村提留、乡统筹费管理，健全各项制度，真正做到财务公开，加强监督和专项审计，确保村提留、乡统筹费依法征收、规范使用，推动我县规范农民负担工作走上正常化、规范化、法制化的轨道	政治	资金	环境型
​185	坚决纠正乱收费、乱罚款、乱摊派，切实减轻企业和农民负担	政治	党建	环境型
​186	加快科技兴农步伐，为农业经济提供快捷方便和宽领域、全过程的科技信息服务，提高农民科技素质	经济	科创	供给型
​187	大力挖掘竹文化、昌硕文化，培植具有鲜明地方特色的文化精品，鼓励创作更多更好的文化作品，活跃城乡群众文化生活	文化	民生	供给型
​188	认真实施枟全民健身计划纲要枠，广泛开展争创体育先进乡镇、先进单位和先进社区活动，举办首届县运动会	社会	民生	供给型
​189	完成乡镇广播站体制改革	政治	党建	环境型
​190	以邓小平理论为指导，广泛深入地开展农业和农村现代化教育，在全社会形成知现代化、想现代化、干现代化的热潮	政治	党建	环境型
​191	继续开展文明乡镇、文明村、文明单位、文明户和文明景点创建活动	文化	民生	供给型
​192	部门、乡镇干部特别是“一把手”，要敢抓敢管，不当“老好人”，不做太平官	政治	党建	环境型
​193	继续开展文明乡镇、文明村、文明单位、文明户和文明景点创建活动	文化	民生	供给型
​194	支持湖州市乡村发展特色农业，打造‘安吉白茶’品牌，推动农产品附加值提升。	经济	产业	供给型
​195	推进湖州市乡村‘数字乡村’建设，提升村级事务管理效率。	政治	党建	供给型
​196	实施湖州市乡村‘千村示范、万村整治’工程，推进农村垃圾分类和污水处理。	生态	民生	需求型
​197	加强湖州市乡村教育资源配置，推进城乡教师轮岗交流。	社会	民生	供给型
​198	保护湖州市乡村非物质文化遗产，发展乡村旅游文化体验项目。	文化	产业	供给型
​199	实施湖州市乡村‘乡贤回归’工程，吸引在外人才返乡创业。	经济	人口	需求型
​200	推进湖州市乡村集体土地流转，支持农业合作社发展。	经济	土地	需求型
​201	支持湖州市乡村发展生态旅游，打造‘绿水青山就是金山银山’实践示范村。	生态	产业	需求型
​202	设立湖州市乡村发展专项基金，支持农村基础设施建设和产业发展。	经济	资金	供给型
​203	推广湖州市乡村智慧农业技术，建设农业物联网示范基地。	经济	科创	需求型
​204	推进湖州市乡村‘网格化管理’，提升村级事务透明度和群众参与度。	政治	党建	供给型
​205	建设湖州市乡村标准化卫生室，提升基层医疗服务能力。	社会	民生	供给型
​206	政府投资建设湖州市乡村道路和水利设施，改善基础设施条件。	社会	土地	供给型
​207	发放湖州市乡村旅游消费券，吸引城市居民到乡村度假。	经济	产业	需求型
​208	制定湖州市乡村土地流转管理办法，规范土地流转行为。	政治	党建	环境型
​209	已建成的主要有：加固大江大河大湖堤防近6100公里；新增公路通车里程1.2万公里，其中高速公路3358公里；增加铁路新线1423公里、复线643公里；城市基础设施建设和环境保护整治明显加快，许多城市面貌发生了较大变化；加快了企业技术改造和高新技术产业化进程；新建和改造农村电网高低压线路90万公里；建成仓容250亿公斤的国家粮食储备库。	经济	民生	供给型
​210	努力解决农民贷款难问题。对重复建设、产品积压和需要压缩生产能力的企业，应当停止或压缩贷款。	经济	资金	供给型
​211	特别要千方百计增加农民收入，开拓农村市场。	经济	资金	需求型
​212	继续严格执行减轻农民负担的有关政策。积极推进农村税费改革，从根本上减轻农民负担，今年将在安徽省进行试点，总结经验后再行展开。	经济	资金	环境型
​213	今年要着重抓好以下工作。进一步稳定和加强农业的基础地位。	经济	产业	供给型
​214	在农业连年丰收、农产品相对过剩的情况下，尤其要防止忽视、放松农业的倾向。	经济	产业	供给型
​215	当前我国农业进入了一个新的发展阶段，对农业结构进行战略性调整是这个阶段的重要任务。	经济	产业	供给型
​216	要积极引导农民调整农业产业结构，发展畜牧业、林业和水产业，发展粮食和其他农产品的深加工。	经济	产业	供给型
​217	努力调整种植业、畜牧业品种和品质结构，积极推广应用农业科技成果，面向市场发展优质农产品。	经济	产业	需求型
​218	同时，发挥资源优势和区域比较优势，调整农业区域生产结构。	经济	产业	供给型
​219	要因地制宜，大力发展高效农业、生态农业、出口农业。	经济	产业	供给型
​220	在调整农业结构中，要充分尊重农民生产经营自主权，不能搞强迫命令。	政治	党建	环境型
​221	发展专业合作经济组织和公司加农户等产业化经营，把分散经营的农户同大市场连接起来，带动农业结构调整。	经济	产业	供给型
​222	引导和支持乡镇企业面向市场调整结构，提高管理水平和技术水平。	经济	产业	供给型
​223	切实保护耕地。进一步加强以水利为重点的农业基础设施建设，改善农村生产和生活条件。	生态	土地	环境型
​224	抓住当前粮食等农产品相对充裕的有利时机，采取“退耕还林(草)、封山绿化、以粮代赈、个体承包”的综合性措施，以粮换林换草。	生态	土地	供给型
​225	这项工作要加强规划和政策引导，尊重农民意愿，搞好试点，逐步推行。	政治	党建	环境型
​226	坚持按保护价敞开收购农民余粮。认真执行粮食优质优价政策，促进粮食品种结构调整。	经济	资金	供给型
​227	工业、农业、财税、金融、贸易和科技、教育、文化、卫生等各行各业，也都要在加强管理上下大功夫。	政治	党建	环境型
​228	坚持走可持续发展道路。继续加强计划生育工作，努力稳定低生育水平，搞好优生优育，重点抓好农村和流动人口计划生育管理与服务。	社会	民生	环境型
​229	搞好城乡规划工作。加强自然资源管理，依法保护和合理利用土地、森林、草原、矿产、海洋和水资源。	生态	土地	环境型
​230	进一步做好卫生、体育工作，重视疾病预防和控制，加强城市社区卫生服务和农村初级卫生保健，提高人民群众的健康水平。	社会	民生	供给型
​231	扩大农产品出口。二是积极开拓国际市场，特别要大力拓展非洲、拉美、东欧、独联体等新兴市场，积极发展与周边国家及发展中国家的经贸关系。	经济	产业	供给型
​232	鼓励外商投资农业、基础设施、环保产业和高新技术产业。	经济	产业	需求型
